depth	min	max	median	mean
0	-55	-55	-55	-55
1	-52	-50.7	-51.3	-51.3
2	-48.7	-46.7	-47.7	-47.7
3	-44.5	-41.7	-43.2	-43.2
4	-37.4	-33.5	-35.5	-35.5
5	-31.2	-26.3	-29	-28.9
6	-24.7	-18.6	-22	-21.9
7	-14	-6.5	-10.4	-10.4
8	-8.1	0.7	-4	-3.9
9	-0.8	9.3	3.8	3.9
10	11.3	23.6	17.2	17.2
11	22.2	38.6	30	30.2
12	33.8	55.9	43.9	44.2
13	46	77.8	61	61.3
14	58.2	106.1	80.4	80.8
15	68	134.6	99.6	99.9
16	73.6	154	112.8	113.1
17	76.4	166.2	119	119.7
18	79.7	180	125.9	127
