ID,Depth,Density,210Pb,210Pb_sd,Thickness,226Ra,226Ra_sd,info
FCt3,1,0.100091335,6384.135413,287.2860936,1,15.80070681,0.675,2020
FCt4,2,0.100638145,3550.080904,159.7536407,1,14.52452486,0.675,0
FCt5,3,0.101725773,1954.570234,87.95566051,1,15.65273787,0.675,0
FCt6,4,0.103342305,1183.891709,53.27512689,1,14.51746655,0.675,
FCt7,5,0.105470027,760.2131953,34.20959379,1,14.92421251,0.675,
FCt8,6,0.10808563,360.2553264,16.21148969,1,14.80099144,0.675,
FCt9,7,0.111160454,212.9401503,9.582306764,1,14.87378514,0.675,
FCt10,8,0.114660814,104.2683577,4.692076098,1,14.90278388,0.675,
FCt11,9,0.118548356,44.38491668,1.997321251,1,15.07684369,0.675,
FCt12,10,0.12278049,18.64473175,1,1,15.37639344,0.675,
FCt13,11,0.127310846,23.27784427,1.047502992,1,14.62312473,0.675,
FCt14,12,0.132089789,53.15870968,2.392141936,1,15.16289337,0.675,
FCt15,13,0.13706496,97.36298517,4.381334333,1,14.30471686,0.675,
FCt16,14,0.14218185,116.9788365,5.264047642,1,14.02606328,0.675,
FCt17,15,0.147384398,153.290104,6.898054679,1,15.97229369,0.675,
FCt18,16,0.152615602,151.8495526,6.833229869,1,14.75785356,0.675,
FCt19,17,0.15781815,136.3609406,6.136242326,1,16.11401362,0.675,
FCt20,18,0.16293504,107.2736432,4.827313946,1,15.45954662,0.675,
FCt21,19,0.167910211,76.89663314,3.460348491,1,15.94392712,0.675,
FCt22,20,0.172689154,48.92130778,2.20145885,1,14.62350937,0.675,
FCt23,21,0.17721951,40.44393391,1.819977026,1,14.67163044,0.675,
FCt24,22,0.181451644,26.56383932,1.195372769,1,16.25409121,0.675,
FCt25,23,0.185339186,21.71404521,1,1,14.4826459,0.675,
FCt26,24,0.188839546,17.6427866,1,1,15.51091191,0.675,
FCt27,25,0.19191437,17.35330504,1,1,13.68978627,0.675,
FCt28,26,0.194529973,17.42110082,1,1,14.46839729,0.675,
FCt29,27,0.196657695,16.42456598,1,1,15.38889294,0.675,
FCt30,28,0.198274227,12.4827846,1,1,15.06980369,0.675,
FCt31,29,0.199361855,13.55141614,1,1,15.2345748,0.675,
FCt32,30,0.199908665,14.31454034,1,1,14.78462959,0.675,
