ID,Depth,Density,210Pb,210Pb_sd,Thickness,226Ra,226Ra_sd,info
FCt1-01,1,0.100091335,63.50102902,2.857546306,1,23.80451051,1.125,2020
FCt1-02,2,0.100638145,80.0873801,3.603932105,1,23.29239818,1.125,0
FCt1-03,3,0.101725773,98.32805623,4.424762531,1,23.43401479,1.125,0
FCt1-04,4,0.103342305,125.4570454,5.645567041,1,26.08730257,1.125,
FCt1-05,5,0.105470027,141.2797063,6.357586786,1,22.80412146,1.125,
FCt1-06,6,0.10808563,130.2757107,5.862406981,1,23.43327476,1.125,
FCt1-07,7,0.111160454,134.0405116,6.031823021,1,25.6156311,1.125,
FCt1-08,8,0.114660814,129.692453,5.836160387,1,26.13706662,1.125,
FCt1-09,9,0.118548356,134.9365546,6.072144955,1,25.48128031,1.125,
FCt1-10,10,0.12278049,109.3988571,4.922948568,1,25.88766149,1.125,
FCt1-11,11,0.127310846,110.6813302,4.98065986,1,24.44135638,1.125,
FCt1-12,12,0.132089789,102.3809385,4.607142233,1,24.90534421,1.125,
FCt1-13,13,0.13706496,75.80895174,3.411402828,1,22.91511033,1.125,
FCt1-14,14,0.14218185,77.60406329,3.492182848,1,24.48075399,1.125,
FCt1-15,15,0.147384398,68.44010119,3.079804554,1,24.93431399,1.125,
FCt1-16,16,0.152615602,60.72037258,2.732416766,1,25.26590633,1.125,
FCt1-17,17,0.15781815,50.28147231,2.262666254,1,22.96102053,1.125,
FCt1-18,18,0.16293504,44.24641028,1.991088463,1,22.91394965,1.125,
FCt1-19,19,0.167910211,39.85996765,1.793698544,1,28.37743164,1.125,
FCt1-20,20,0.172689154,38.40823059,1.728370377,1,23.53792621,1.125,
FCt1-21,21,0.17721951,32.75921939,1.474164873,1,25.43631482,1.125,
FCt1-22,22,0.181451644,28.025454,1.26114543,1,24.89954624,1.125,
FCt1-23,23,0.185339186,27.87490337,1.254370652,1,22.67825111,1.125,
FCt1-24,24,0.188839546,30.74796829,1.383658573,1,24.85751959,1.125,
FCt1-25,25,0.19191437,28.36187386,1.276284324,1,24.87240464,1.125,
FCt1-26,26,0.194529973,27.24534951,1.226040728,1,24.37777368,1.125,
FCt1-27,27,0.196657695,23.59235864,1.061656139,1,24.72092706,1.125,
FCt1-28,28,0.198274227,25.74854663,1.158684599,1,24.66151682,1.125,
FCt1-29,29,0.199361855,25.05368495,1.127415823,1,24.71992576,1.125,
FCt1-30,30,0.199908665,25.00650454,1.125292704,1,24.49368363,1.125,
