"" "depths" "age" "sd" "offset" "N_offset" "info_pct"
Sim02_20 12 57.5049321105258 7.21735031052927 25.8839172518745 8.09980364891845 20
Sim03_20 10.3333333333333 16.9877522340873 0.807936465200213 63.0086525347357 90.6619186224244 20
Sim01_20 9.75 38.673803345333 1.990034585366 34.754076905221 25.3247916020022 20
Sim02_20 6.5 77.512976088762 6.81303595025053 48.2380328710314 19.3101312085428 20
Sim01_20 10.75 40.8452504170679 1.70512041396074 42.7861056586934 45.0747762855959 20
Sim03_20 13.5 115.155988871227 6.14092422323211 14.6961577582059 4.81986246167822 20
Sim01_20 14 61.4594208979601 4.90495959141368 53.1938149857105 17.8743267280539 20
Sim01_20 13.6666666666667 79.7862388007736 10.7395762013292 39.5177044897292 8.22335941274555 20
Sim01_20 11.6666666666667 39.1473546337409 2.3408034549301 46.2913684790644 24.4843777567252 20
Sim03_20 12.5 122.484479044656 5.98935147230801 35.2896414825299 10.1229160741174 20
Sim03_20 16.6666666666667 83.5732270746171 6.44086200882938 65.1046417999691 14.1784007209914 20
Sim01_20 3 9.66666666666667 61.5217753203483 6.16342675042166 38.3081410513222 26.3157645306471
Sim02_20 3.5 7.25 71.9140712499758 5.79478494736313 43.1417951521546 22.6252393878248
Sim03_20 10 131.432271537543 3.30589168154303 46.1436807110061 18.5071346638431 20
Sim03_20 9.5 128.675891088515 2.60402081904616 49.4734246673526 22.9865536606454 20
Sim03_20 16.25 82.1870117719746 5.92375266905591 53.3808668729142 27.7734038648518 20
Sim02_20 2 6 125.389132384438 17.1688444994295 53.8124640780143 3.13430901420316
Sim03_20 11 120.278476790058 7.70932409283282 41.6051141023206 10.7306108697642 20
Sim01_20 15.75 69.0944801045173 7.51452076957478 57.0345857304596 13.1696208543637 20
Sim01_20 6 42.7447980852129 2.50659190665368 32.3415025528755 35.3296767877432 20
Sim02_25 8.5 90.7454944392759 3.4754162782431 21.7680137103551 4.56176301005444 25
Sim02_25 12.4 104.939361536408 8.92499692226021 14.3948257359397 1.3768701059098 25
Sim03_25 5.25 94.9244197688459 1.76356949960037 41.1785394546931 23.439201573475 25
Sim02_25 8 93.4008709477067 6.67746243178848 41.7363402879451 14.6246862472309 25
Sim01_25 16.2 65.4871903345689 5.11302601664849 71.404621761356 20.1638703464632 25
Sim03_25 9.2 106.822968068495 1.91000548306693 39.1141875690255 20.3468777409231 25
Sim03_25 4 10.4 84.4451163689789 4.88826255032459 34.0386066108802 9.94850670445947
Sim01_25 7.8 42.5676792628687 1.96560004503665 36.2282540580742 50.2232673212421 25
Sim01_25 9 52.3726112173758 4.42267488203444 24.5147843565571 21.704243394426 25
Sim02_25 4 12.2 128.631483351496 8.46857196500797 39.1257351991503 9.38979229743029
Sim01_25 10 52.292130327666 3.39365312809436 32.0869148202736 35.2156857038525 25
Sim02_25 7.33333333333333 116.185065158773 4.65970843445544 58.1903535435449 17.2363158343592 25
Sim03_25 3 8 105.825180639744 7.40228272613252 46.549756098641 9.17109231212639
Sim01_25 4 10.6 35.8551986008462 1.27394928989877 43.8487564507892 58.0933326304476
Sim01_25 9.8 55.4601155955553 5.01543125496223 29.8297393012304 20.2879289437295 25
Sim02_25 6.66666666666667 94.8672921179032 5.49793276147573 34.0063023284558 6.06098178025778 25
Sim03_25 4 10.4 58.0560091928257 1.45199770705329 31.5405682793902 23.7618568095086
Sim02_25 10.5 160.455969819201 15.9178687605967 71.9391135719345 5.31283308716496 25
Sim01_25 4 13.2 59.9546159412209 5.44524433090517 47.1364210070933 22.9772400157561
Sim03_25 6 54.2883744869924 1.4569978505469 14.2093354165392 10.9653053206085 25
Sim01_30 5 14.4285714285714 62.22919436437 5.46374981525309 51.3708691674897 34.1490491296344
Sim01_30 10.8333333333333 58.4172512645015 4.98131161865357 35.6608413923666 25.1537183973681 30
Sim02_30 8.33333333333333 74.4768779052528 2.88121040136614 23.4700126822217 12.2321573574732 30
Sim01_30 4.5 12.5 48.6347822000717 3.04038475012646 44.3163233196305 33.307590983458
Sim03_30 9.42857142857143 100.833024725324 1.92015359740929 25.0193456400955 13.8721975112791 30
Sim02_30 5.2 86.7454103856 4.56503051235519 32.9252140821518 7.96627655210371 30
Sim01_30 14.1428571428571 63.3913189534712 5.93318930464487 54.1262077568698 20.8886837915581 30
Sim01_30 11.5714285714286 53.2010614960037 3.88114979553758 33.1469169277956 36.4986979445174 30
Sim02_30 9.66666666666667 97.5551082346431 5.4425778546224 30.0916914543105 7.35107157221867 30
Sim03_30 5 13 115.306914996217 4.64031124066465 14.1719850039524 4.73897125612777
Sim01_30 4 7.4 40.4798025565969 2.35533147963065 31.3105235352791 36.326986560125
Sim03_30 15.4285714285714 89.8870349915043 3.54158678613957 41.0322000462502 19.5557685178009 30
Sim01_30 8.6 57.3664680137646 5.73230039939169 29.95103353927 25.3469244671942 30
Sim01_30 11.4285714285714 52.5282247056874 2.9308135709855 40.4314639141403 38.7192133447691 30
Sim03_30 4 12.6 99.1149347049891 3.74022732183062 15.2864615875946 6.0968527780423
Sim01_30 5 13.7142857142857 60.0094812522494 4.36969694295205 50.6140710821764 28.0076046180242
Sim02_30 7.66666666666667 89.9085929529029 4.59724738842931 35.959965300185 10.9712357590024 30
Sim03_30 11.4285714285714 117.432289052374 3.97816330877972 28.0487399991438 9.64165600858489 30
Sim03_30 16 63.2239069018321 4.24130430739484 65.3625067742006 79.7235575227819 30
Sim01_30 16.1666666666667 59.5026538835929 6.88076500874782 68.2608525644313 19.2466862567697 30
Sim01_35 9.125 43.6202468112836 1.64169383488123 36.8126058931588 60.6024626042179 35
Sim02_35 3 11 108.807634080108 8.53092390122179 29.2193392214255 4.16293358022508
Sim02_35 10.4285714285714 114.064151331377 5.28090361074942 32.082097845165 8.85655185061229 35
Sim01_35 11.25 49.7260071970159 2.74576279051049 42.074248827039 33.7094544678677 35
Sim03_35 12.1428571428571 104.713390852355 3.71844031166159 11.8479737664732 6.89776826288275 35
Sim03_35 9 70.6330399928962 1.45018167300505 7.25980166985207 5.09085332000764 35
Sim02_35 7.71428571428571 100.681107752504 5.03239591497922 36.3645952598706 8.32361637436402 35
Sim03_35 5 11.2857142857143 110.09892526344 3.36038710618511 25.062772222327 8.62706577059009
Sim03_35 11.4285714285714 81.4141531621778 1.59072663746361 14.1808131202622 8.39566703347336 35
Sim01_35 13.1666666666667 54.8271950120734 3.76636154887027 51.2620314502852 27.992738709855 35
Sim03_35 9.83333333333333 92.3501257001565 3.09800035861074 15.1844727868038 5.2866073700171 35
Sim03_35 5 8.14285714285714 88.8377113363955 1.47321576840537 18.494296976172 12.6926392872225
Sim02_35 9.85714285714286 112.182995309983 5.32224953889575 37.6884283158298 8.80680434206822 35
Sim03_35 11.1428571428571 114.280494883246 3.35953707581606 23.2423634687106 11.167653331285 35
Sim02_35 6.5 80.2865717400217 5.83493987376566 35.500920612886 14.0548651550069 35
Sim03_35 14.875 68.7379421229054 1.62720259802968 48.6720343284398 43.0347716140407 35
Sim01_35 10.875 47.6110627492256 2.73424684550481 33.6800000196185 35.7990020806792 35
Sim02_35 5.5 10.875 89.6590550267563 5.11051911582993 25.8896386041518 10.934964354341
Sim03_35 8.5 102.659332542637 2.12670319688163 27.1339176262761 12.4975076910098 35
Sim01_35 14 72.8111532878869 6.75939959917352 55.6397693521536 23.1114524621038 35
Sim03_40 14.1111111111111 141.268714942633 4.38858355398691 22.791259287117 10.9929762807659 40
Sim03_40 11.2222222222222 95.326610809581 3.17352262212588 16.7478478030088 11.6629608675168 40
Sim03_40 5.5 16.5 74.9037184140011 3.86163657291835 57.6773559232211 45.6383687550192
Sim03_40 13.7 132.022537203044 4.34456830552593 19.5824088579826 8.28227403138506 40
Sim03_40 15.2 89.476722655806 3.48889182794006 36.9753644858615 22.8638234622404 40
Sim03_40 6.5 12.1 117.525529703405 3.44145722619387 16.8775767684085 9.17929777128108
Sim03_40 12.9 60.1923134710706 3.05331427121554 45.4460130693853 54.7996776553922 40
Sim03_40 14 69.2939401015995 1.76619729543089 37.9895576856954 31.5345273884177 40
