"Information_percentage" "Accuracy" "Precision" "NormAccuracy" "CRS_Accuracy" "CRS_Precision" "CRS_NormAccuracy" "Names" "Simulation"
10 29.68445 64.8592 1.86880858634027 51.8297527466988 30.5855820273226 14.2844286685621 "Sim01_10_001" "Sim01"
10 41.00175 113.575 1.45937660715201 142.290740592069 144.030208977012 5.636699160319 "Sim01_10_002" "Sim01"
10 49.55595 84.7258 2.48684876811502 14.4244710475533 84.5165018164479 1.5555159519192 "Sim01_10_003" "Sim01"
10 33.5016 66.50205 2.08229851755237 27.0678896305016 37.6242579512318 6.38167240400835 "Sim01_10_004" "Sim01"
10 25.2368 63.02635 1.62373110877122 37.4842368952431 56.7043732215867 5.14748934701724 "Sim01_10_005" "Sim01"
10 36.85085 51.72805 2.84342263419742 26.5012549413026 18.635697588277 6.23312081688637 "Sim01_10_006" "Sim01"
10 29.88775 99.60465 1.3362802082273 85.6315339006292 119.514601670374 4.82735880900644 "Sim01_10_008" "Sim01"
10 40.4116 56.1535 2.87865226566465 9.63502925690987 15.1465101681025 2.54448824183952 "Sim01_10_009" "Sim01"
10 32.1604 75.5782 1.86814639313004 14.6772511863999 33.8099637548993 3.65121115096045 "Sim01_10_010" "Sim01"
10 23.3418 41.8306 2.20306395984179 23.8028142512374 12.8477793304912 8.39001943588555 "Sim01_10_011" "Sim01"
10 21.62015 43.55845 1.73440451858795 10.8667135471361 17.70371134442 6.04560086355725 "Sim01_10_012" "Sim01"
10 37.21605 56.1579 2.67183418553561 17.2232187857011 30.4517985892775 2.77150420619733 "Sim01_10_013" "Sim01"
10 36.995 93.1683 1.75479858842545 45.5063487934826 130.940082480385 2.96925792634 "Sim01_10_014" "Sim01"
10 21.769 41.8262 1.83981939103355 16.6366004657601 16.5113207724901 6.61148191291762 "Sim01_10_015" "Sim01"
10 14.7922 26.69055 1.82640468578821 18.7004250843268 16.1239839811566 7.00849531031311 "Sim01_10_016" "Sim01"
10 28.0099 58.74475 1.9639752560967 12.619288247467 31.3602855196533 4.95122813762391 "Sim01_10_017" "Sim01"
10 36.7337 59.6826 2.46193697995731 40.2952597542337 17.0175326738164 9.47146934319871 "Sim01_10_018" "Sim01"
10 36.4429 52.5066 2.74758609300822 23.7131450045563 19.5276585549155 5.90254090028042 "Sim01_10_019" "Sim01"
10 38.65285 77.4153 2.11924843323128 23.9415989230914 314.624251973864 3.43722347587104 "Sim01_10_020" "Sim01"
10 8.5892 24.6268 1.3950980232917 21.5744409219037 8.80354750831656 9.80261236803582 "Sim01_10_022" "Sim01"
10 18.24355 50.95 1.36396160207522 40.6096811561674 59.7836940418906 4.97714364499168 "Sim01_10_023" "Sim01"
10 30.6299 71.8102 1.83777053749346 47.7314216228728 86.2013113277035 4.70866993810725 "Sim01_10_024" "Sim01"
10 26.67715 47.6725 2.13277578269185 19.4827738629855 17.5978964223471 6.51862418376326 "Sim01_10_025" "Sim01"
10 43.6008 61.662 2.84627708673895 17.8513486686145 19.5009023218677 11.631044349838 "Sim01_10_026" "Sim01"
10 23.34965 82.1982 1.20925506358484 72.810273108501 55.2508828325934 10.2589284880667 "Sim01_10_027" "Sim01"
10 18.7175 48.55045 1.43788911193593 9.50163615358392 24.0063038551886 5.79701839177921 "Sim01_10_028" "Sim01"
10 25.6094 107.50005 1.02471312548553 98.3218403570073 201.934223828548 3.63465825901186 "Sim01_10_029" "Sim01"
10 30.95565 55.9379 2.24387615226777 12.1115305471331 24.8610131251993 4.53371004212192 "Sim01_10_030" "Sim01"
10 32.413 65.26535 2.04676619226 32.4794836589344 39.6044930719809 7.91502459253544 "Sim01_10_031" "Sim01"
10 38.24615 92.88605 1.84278566087354 41.5061500542229 113.554861890919 2.4865472524321 "Sim01_10_032" "Sim01"
10 33.8276 88.476 1.7310954121983 39.245711893934 56.7602602072322 4.00207733675093 "Sim01_10_033" "Sim01"
10 35.99555 49.5948 2.89035910555686 26.5012549413026 18.635697588277 6.23312081688637 "Sim01_10_034" "Sim01"
10 21.99595 43.3792 1.78131312914019 12.3944435331598 16.2609026196785 6.33379701156024 "Sim01_10_035" "Sim01"
10 40.0575 56.8804 2.81696331249429 9.63502925690987 15.1465101681025 2.54448824183952 "Sim01_10_036" "Sim01"
10 41.0445 74.45245 2.31449912442282 2.76916529297173 75.5773733102352 0.478401738931011 "Sim01_10_037" "Sim01"
10 34.29965 52.5264 2.58094695607629 17.4595695314003 19.0090678813566 5.24136336188946 "Sim01_10_038" "Sim01"
10 25.9092 107.9016 1.03706691740332 98.3218403570073 201.934223828548 3.63465825901186 "Sim01_10_040" "Sim01"
10 49.7054 84.98735 2.46992237801927 18.6208057781943 86.1179415286185 2.58633435567222 "Sim01_10_041" "Sim01"
10 47.9525 90.8775 2.30221880557544 23.6913035413554 165.37946790536 1.58807165310635 "Sim01_10_042" "Sim01"
