"" "CFCS" "CFCS_sd" "CIC" "CIC_sd" "CRS_serac" "CRS_serac_sd"
"Sim01_10_001" "104.126504781045" "7.30219430100273" "73.8258861768089" "36.4997416433951" "73.7531851381628" "17.5589487406455"
"Sim01_10_002" "177.133714444197" "38.8618400217838" "61.8910810858141" "95.0644521495584" "80.0347414106276" "37.8630565033252"
"Sim01_10_003" "80.2260849806777" "7.13642480634877" "78.2634462674186" "37.6739813560673" "86.77084546065" "19.7129548914829"
"Sim01_10_004" "88.3154503221701" "8.85262529927612" "73.4805651323098" "36.3597790203587" "76.0577024635669" "17.241943069368"
"Sim01_10_006" "62.4316122825657" "1.97008661577545" "90.6872209253699" "36.4150453630294" "92.2611290574586" "15.047624779446"
"Sim01_10_008" "97.958484274097" "3.10966687036848" "65.6188368179079" "47.3957446132018" "87.4924272652297" "29.4067692326797"
"Sim01_10_010" "68.3986003305268" "11.2401406690999" "77.2190338568007" "36.3197570646746" "81.9523152967913" "16.8378484208552"
"Sim01_10_011" "70.1765045386861" "1.63608575227546" "93.3101825961431" "36.5728555140152" "95.9454030531597" "14.7798038151247"
"Sim01_10_012" "68.5182893893207" "8.66880199731693" "90.1061030667056" "36.3964694970089" "90.941099733991" "15.0541245477226"
"Sim01_10_014" "97.9099354605707" "11.3166903190554" "69.1773046573351" "38.982308284446" "83.3577657100828" "22.6831075722006"
"Sim01_10_015" "68.5472280977597" "5.80765458994593" "95.0770539888506" "36.4999224943933" "94.5883910352576" "14.8808330996035"
"Sim01_10_017" "66.7860561699832" "9.88175863233374" "78.7211882455791" "36.2429808767993" "82.8361966094017" "15.9319666027572"
"Sim01_10_019" "62.3779981501889" "3.49749170266494" "88.0086852138447" "36.3631752781285" "89.6991930547711" "15.1710852854691"
"Sim01_10_022" "69.194207260724" "8.55168408752345" "72.5842130139893" "37.0028810178518" "81.6468683797286" "17.127431271834"
"Sim01_10_023" "73.9224756745856" "11.6430928156797" "68.661489367563" "37.7737813583965" "86.3371249922704" "22.8024455577766"
"Sim01_10_024" "72.4928185868294" "6.07919842735617" "74.9198339780867" "39.0810940852301" "91.2481511584159" "22.0410545856325"
"Sim01_10_026" "70.7949172289091" "3.14072079832899" "84.9617952207562" "36.3535522314552" "91.1708716997797" "18.1721316545372"
"Sim01_10_028" "68.7581388067896" "11.022508519466" "79.5292921429842" "36.3128366055522" "85.5663782755965" "15.5444146998328"
"Sim01_10_029" "138.2422752625" "22.9213218206092" "68.6083268710373" "95.9932273289162" "90.8276240347327" "34.0820594785985"
"Sim01_10_031" "93.7519833145982" "8.33178752169613" "73.1432037451239" "36.3915013146397" "75.2393760121538" "17.3257070590579"
"Sim01_10_033" "90.1524832764794" "15.6148967727358" "70.5952268233153" "37.0404852823401" "80.3235812367462" "19.4670326899708"
"Sim01_10_035" "68.4717684766758" "7.63918469186558" "91.6864132597095" "36.4330612654039" "92.1279063646265" "14.992118344156"
